Entry	Identifier	OmekaURL	Entry_Clean_Recon	EntriesID	EntriesIdentifier	SeeAlso	Comment	Column 1
Altenburg	QGJ.v1.Loc.00017	https://undusting.org/jewish_sources/s/jewish_sources/item/16354	Altenburg	5293|5304|5305|5333|5373|5374|5375|5376|5377|5378|5379|5380|5381|5382|5383|5384|5385|5386|5387|5388|5389|5390|5391|5392|5393|5394|5395|5396|5397|5398|5399|5400|5401|5402|5403|5404|5405|5406|5407|5408|5409|5410|5411|5412|5413|5414|5415|5416|5417|5418|5419|5420|5421|5422|5423|5424|5425|5426|5427|5428|5429|5430|5431|5432|5433|5434|5435|5436|5437|5438|5439|5440|5441|5442|5443|5444|5445|5446|5447|5448|5449|5450|5451|5452|5453|5454|6971|7125|7126|7127|7128|7129|7130|7131|7132|7133|7134|7135|7136|7137|7138|7139|7140|7141|7142|7143|7144|7145|7146|7147	QGJ.v1.A0235.I0779.E05370|QGJ.v1.A0235.I0779.E05381|QGJ.v1.A0235.I0779.E05382|QGJ.v1.A0235.I0789.E05410|QGJ.v1.A0236.I0799.E05450|QGJ.v1.A0236.I0799.E05451|QGJ.v1.A0236.I0799.E05452|QGJ.v1.A0236.I0799.E05453|QGJ.v1.A0236.I0799.E05454|QGJ.v1.A0236.I0799.E05455|QGJ.v1.A0236.I0799.E05456|QGJ.v1.A0236.I0799.E05457|QGJ.v1.A0236.I0799.E05458|QGJ.v1.A0236.I0799.E05459|QGJ.v1.A0236.I0799.E05460|QGJ.v1.A0236.I0799.E05461|QGJ.v1.A0236.I0799.E05462|QGJ.v1.A0236.I0799.E05463|QGJ.v1.A0236.I0799.E05464|QGJ.v1.A0236.I0799.E05465|QGJ.v1.A0236.I0799.E05466|QGJ.v1.A0236.I0799.E05467|QGJ.v1.A0236.I0799.E05468|QGJ.v1.A0236.I0799.E05469|QGJ.v1.A0236.I0799.E05470|QGJ.v1.A0236.I0799.E05471|QGJ.v1.A0236.I0799.E05472|QGJ.v1.A0236.I0799.E05473|QGJ.v1.A0236.I0799.E05474|QGJ.v1.A0236.I0800.E05475|QGJ.v1.A0236.I0800.E05476|QGJ.v1.A0236.I0800.E05477|QGJ.v1.A0236.I0800.E05478|QGJ.v1.A0236.I0801.E05479|QGJ.v1.A0236.I0801.E05480|QGJ.v1.A0236.I0801.E05481|QGJ.v1.A0236.I0801.E05482|QGJ.v1.A0236.I0801.E05483|QGJ.v1.A0236.I0801.E05484|QGJ.v1.A0236.I0801.E05485|QGJ.v1.A0236.I0801.E05486|QGJ.v1.A0236.I0801.E05487|QGJ.v1.A0236.I0801.E05488|QGJ.v1.A0236.I0801.E05489|QGJ.v1.A0236.I0801.E05490|QGJ.v1.A0236.I0801.E05491|QGJ.v1.A0236.I0801.E05492|QGJ.v1.A0236.I0802.E05493|QGJ.v1.A0236.I0802.E05494|QGJ.v1.A0236.I0804.E05499|QGJ.v1.A0236.I0804.E05500|QGJ.v1.A0236.I0804.E05501|QGJ.v1.A0236.I0804.E05502|QGJ.v1.A0236.I0804.E05503|QGJ.v1.A0236.I0802.E05495|QGJ.v1.A0236.I0803.E05496|QGJ.v1.A0236.I0803.E05497|QGJ.v1.A0236.I0803.E05498|QGJ.v1.A0236.I0805.E05504|QGJ.v1.A0236.I0805.E05505|QGJ.v1.A0236.I0806.E05506|QGJ.v1.A0236.I0807.E05507|QGJ.v1.A0236.I0807.E05508|QGJ.v1.A0236.I0807.E05509|QGJ.v1.A0236.I0807.E05510|QGJ.v1.A0236.I0807.E05511|QGJ.v1.A0236.I0807.E05512|QGJ.v1.A0236.I0807.E05513|QGJ.v1.A0236.I0808.E05514|QGJ.v1.A0236.I0808.E05515|QGJ.v1.A0236.I0808.E05516|QGJ.v1.A0236.I0808.E05517|QGJ.v1.A0236.I0809.E05518|QGJ.v1.A0236.I0810.E05519|QGJ.v1.A0236.I0810.E05520|QGJ.v1.A0236.I0810.E05521|QGJ.v1.A0236.I0811.E05522|QGJ.v1.A0236.I0812.E05523|QGJ.v1.A0236.I0812.E05524|QGJ.v1.A0236.I0813.E05525|QGJ.v1.A0236.I0813.E05526|QGJ.v1.A0236.I0813.E05527|QGJ.v1.A0236.I0814.E05528|QGJ.v1.A0236.I0815.E05529|QGJ.v1.A0237.I0816.E05531|QGJ.v1.A0236.I0815.E05530|QGJ.v1.A0239.I0847.E07052|QGJ.v1.A0241.I0861.E07211|QGJ.v1.A0241.I0861.E07212|QGJ.v1.A0241.I0861.E07217|QGJ.v1.A0241.I0861.E07218|QGJ.v1.A0241.I0861.E07221|QGJ.v1.A0241.I0861.E07222|QGJ.v1.A0241.I0861.E07223|QGJ.v1.A0241.I0861.E07213|QGJ.v1.A0241.I0861.E07214|QGJ.v1.A0241.I0861.E07215|QGJ.v1.A0241.I0861.E07216|QGJ.v1.A0241.I0861.E07219|QGJ.v1.A0241.I0861.E07220|QGJ.v1.A0241.I0861.E07224|QGJ.v1.A0241.I0861.E07225|QGJ.v1.A0241.I0861.E07226|QGJ.v1.A0241.I0861.E07227|QGJ.v1.A0241.I0861.E07228|QGJ.v1.A0241.I0861.E07229|QGJ.v1.A0241.I0861.E07230|QGJ.v1.A0242.I0863.E07232|QGJ.v1.A0242.I0864.E07233|QGJ.v1.A0241.I0862.E07231			Altenburg 5293, 5304, 5305, 5333,5373-5454,6971,7125-7147
Altengronau	QGJ.v1.Loc.00018	https://undusting.org/jewish_sources/s/jewish_sources/item/16355	Altengronau	6429	QGJ.v1.A0239.I0831.E06510			Altengronau 6429
Altenhausen	QGJ.v1.Loc.00019	https://undusting.org/jewish_sources/s/jewish_sources/item/16356	Altenhausen	6550|6552|6553	QGJ.v1.A0239.I0837.E06631|QGJ.v1.A0239.I0837.E06633|QGJ.v1.A0239.I0837.E06634			Altenhausen 6550, 6552,6553
Altenkirchen	QGJ.v1.Loc.00020	https://undusting.org/jewish_sources/s/jewish_sources/item/16357	Altenkirchen	5022	QGJ.v1.A0235.I0759.E05099			Altenkirchen 5022
Altenlotheim	QGJ.v1.Loc.00021	https://undusting.org/jewish_sources/s/jewish_sources/item/16358	Altenlotheim	4753	QGJ.v1.A0234.I0732.E04830			Altenlotheim 4753
Altenstadt (Hessen)	QGJ.v1.Loc.00022	https://undusting.org/jewish_sources/s/jewish_sources/item/16359	Altenstadt (Hessen)	4753	QGJ.v1.A0234.I0732.E04830			Altenstadt (Hessen) 4753
Altentreptow	QGJ.v1.Loc.00023	https://undusting.org/jewish_sources/s/jewish_sources/item/16360	Altentreptow	163/1|999	QGJ.v1.A0006.I0053.E00200|QGJ.v1.A0040.I0151.E01041			Altentreptow 163/1,999
Altmark	QGJ.v1.Loc.00024	https://undusting.org/jewish_sources/s/jewish_sources/item/16361	Altmark	2748	QGJ.v1.A0155.I0470.E02815			Altmark 2748
Altmittweida	QGJ.v1.Loc.00025	https://undusting.org/jewish_sources/s/jewish_sources/item/16362	Altmittweida	3923|3924	QGJ.v1.A0194.I0627.E04000|QGJ.v1.A0194.I0627.E04001			Altmittweida 3923-3924
Altona	QGJ.v1.Loc.00026	https://undusting.org/jewish_sources/s/jewish_sources/item/16363	Altona	823|1062|1461|4718|4719	QGJ.v1.A0033.I0120.E00865|QGJ.v1.A0043.I0163.E01104|QGJ.v1.A0066.I0208.E01509|QGJ.v1.A0234.I0732.E04795|QGJ.v1.A0234.I0732.E04796			Altona 823,1062,1461,4718,4719
Altstrelitz	QGJ.v1.Loc.00027	https://undusting.org/jewish_sources/s/jewish_sources/item/16364	Altstrelitz			Strelitz		Altstrelitz
Amerika	QGJ.v1.Loc.00028	https://undusting.org/jewish_sources/s/jewish_sources/item/16365	Amerika	271|1897|1905|2030|4321|5200|7342|7343|7345	QGJ.v1.A0017.I0071.E00313|QGJ.v1.A0103.I0316.E01951|QGJ.v1.A0103.I0316.E01959|QGJ.v1.A0107.I0328.E02084|QGJ.v1.A0196.I0648.E04398|QGJ.v1.A0235.I0768.E05277|QGJ.v1.A0254.I0890.E07435|QGJ.v1.A0254.I0890.E07436|QGJ.v1.A0254.I0890.E07438	USA		USA 271, 1897,1905, 2030, 4321, 5200, 7342,7343, 7345
Amonsgrün (Böhmen)	QGJ.v1.Loc.00029	https://undusting.org/jewish_sources/s/jewish_sources/item/16366	Amonsgrün (Böhmen)	5461	QGJ.v1.A0238.I0817.E05542			Amonsgrün (Böhmen) 5461
Amsterdam	QGJ.v1.Loc.00030	https://undusting.org/jewish_sources/s/jewish_sources/item/16367	Amsterdam	306|1086|1818|4022|4705|5275	QGJ.v1.A0018.I0075.E00348|QGJ.v1.A0043.I0164.E01128|QGJ.v1.A0101.I0302.E01872|QGJ.v1.A0196.I0638.E04099|QGJ.v1.A0229.I0726.E04782|QGJ.v1.A0235.I0777.E05352			Amsterdam 306, 1086, 1818, 4022,4705,5275
Andernach	QGJ.v1.Loc.00031	https://undusting.org/jewish_sources/s/jewish_sources/item/16368	Andernach	94/1	QGJ.v1.A0003.I0043.E00116			Andernach 94/1
Angelroda	QGJ.v1.Loc.00032	https://undusting.org/jewish_sources/s/jewish_sources/item/16369	Angelroda	5707	QGJ.v1.A0239.I0831.E05788			Angelroda 5707
Angerapp	QGJ.v1.Loc.00033	https://undusting.org/jewish_sources/s/jewish_sources/item/16370	Angerapp	4753	QGJ.v1.A0234.I0732.E04830			Angerapp 4753
Angerburg (Ostpr.)	QGJ.v1.Loc.00034	https://undusting.org/jewish_sources/s/jewish_sources/item/16371	Angerburg (Ostpr.)	4753	QGJ.v1.A0234.I0732.E04830			Angerburg (Ostpr.) 4753
Angermünde	QGJ.v1.Loc.00035	https://undusting.org/jewish_sources/s/jewish_sources/item/16372	Angermünde	1132|1133|1134|1135|1136|1137|1138|1139|1140|1141|1142|1143|1144|1145|1146|1147|1148|1149|1150|1151|1152|1153|1154|1155|1156|1157|1158|1159|1160|1161|1162|1163|1164|1165|1166|1167|1168|1169|1170|1171|1172|1173|1174|1175|1176|1177|1178|1179|1180|1181|1182|1183|1184|1185|1186|1187|1188|1189|1190|1191|1192|1193|1194	QGJ.v1.A0054.I0174.E01181|QGJ.v1.A0054.I0174.E01182|QGJ.v1.A0054.I0174.E01183|QGJ.v1.A0054.I0174.E01184|QGJ.v1.A0054.I0174.E01185|QGJ.v1.A0054.I0174.E01186|QGJ.v1.A0054.I0174.E01187|QGJ.v1.A0054.I0174.E01188|QGJ.v1.A0054.I0174.E01189|QGJ.v1.A0054.I0174.E01190|QGJ.v1.A0054.I0174.E01191|QGJ.v1.A0053.I0173.E01180|QGJ.v1.A0054.I0174.E01192|QGJ.v1.A0054.I0174.E01193|QGJ.v1.A0054.I0174.E01194|QGJ.v1.A0054.I0174.E01195|QGJ.v1.A0054.I0174.E01196|QGJ.v1.A0054.I0174.E01197|QGJ.v1.A0054.I0174.E01198|QGJ.v1.A0054.I0174.E01199|QGJ.v1.A0054.I0174.E01200|QGJ.v1.A0054.I0174.E01201|QGJ.v1.A0054.I0174.E01202|QGJ.v1.A0054.I0174.E01203|QGJ.v1.A0054.I0174.E01204|QGJ.v1.A0054.I0174.E01205|QGJ.v1.A0054.I0174.E01206|QGJ.v1.A0054.I0174.E01207|QGJ.v1.A0054.I0174.E01208|QGJ.v1.A0054.I0174.E01209|QGJ.v1.A0054.I0174.E01210|QGJ.v1.A0054.I0174.E01211|QGJ.v1.A0054.I0174.E01212|QGJ.v1.A0054.I0174.E01213|QGJ.v1.A0054.I0174.E01214|QGJ.v1.A0054.I0174.E01215|QGJ.v1.A0054.I0174.E01216|QGJ.v1.A0054.I0174.E01217|QGJ.v1.A0054.I0174.E01218|QGJ.v1.A0054.I0174.E01219|QGJ.v1.A0054.I0174.E01220|QGJ.v1.A0054.I0174.E01221|QGJ.v1.A0054.I0174.E01222|QGJ.v1.A0054.I0174.E01223|QGJ.v1.A0054.I0174.E01224|QGJ.v1.A0054.I0174.E01225|QGJ.v1.A0054.I0174.E01226|QGJ.v1.A0054.I0174.E01227|QGJ.v1.A0054.I0174.E01228|QGJ.v1.A0054.I0174.E01229|QGJ.v1.A0054.I0174.E01230|QGJ.v1.A0054.I0174.E01231|QGJ.v1.A0054.I0174.E01232|QGJ.v1.A0054.I0174.E01233|QGJ.v1.A0054.I0174.E01234|QGJ.v1.A0054.I0174.E01235|QGJ.v1.A0054.I0174.E01236|QGJ.v1.A0054.I0174.E01237|QGJ.v1.A0054.I0174.E01238|QGJ.v1.A0054.I0174.E01239|QGJ.v1.A0054.I0174.E01240|QGJ.v1.A0054.I0175.E01241|QGJ.v1.A0054.I0175.E01242			Angermünde 1132-1194
Anhalt	QGJ.v1.Loc.00036	https://undusting.org/jewish_sources/s/jewish_sources/item/16373	Anhalt	2129/3|2737|2952|2953|2954|2955|2956|2957|4813|5405	QGJ.v1.A0109.I0338.E02195|QGJ.v1.A0154.I0467.E02804|QGJ.v1.A0170.I0534.E03019|QGJ.v1.A0170.I0534.E03020|QGJ.v1.A0170.I0534.E03021|QGJ.v1.A0170.I0534.E03022|QGJ.v1.A0170.I0535.E03023|QGJ.v1.A0170.I0536.E03024|QGJ.v1.A0235.I0737.E04890|QGJ.v1.A0236.I0801.E05482			Anhalt 2129/3, 2737, 2952-2957,4813,5405
Anhalt-Bemburg	QGJ.v1.Loc.00037	https://undusting.org/jewish_sources/s/jewish_sources/item/16374	Anhalt-Bemburg	2129/1|4039	QGJ.v1.A0109.I0338.E02193|QGJ.v1.A0196.I0638.E04116			Anhalt-Bemburg 2129/1,4039
Anhalt-Dessau	QGJ.v1.Loc.00038	https://undusting.org/jewish_sources/s/jewish_sources/item/16375	Anhalt-Dessau	2129/1	QGJ.v1.A0109.I0338.E02193			Anhalt-Dessau 2129/1
Anhalt-Kothen	QGJ.v1.Loc.00039	https://undusting.org/jewish_sources/s/jewish_sources/item/16376	Anhalt-Kothen	2129/1|5008	QGJ.v1.A0109.I0338.E02193|QGJ.v1.A0235.I0757.E05085			Anhalt-Kothen 2129/1,5008
Anhalt-Zerbst	QGJ.v1.Loc.00040	https://undusting.org/jewish_sources/s/jewish_sources/item/16377	Anhalt-Zerbst	2129/1	QGJ.v1.A0109.I0338.E02193			Anhalt-Zerbst 2129/1
Ankiam	QGJ.v1.Loc.00041	https://undusting.org/jewish_sources/s/jewish_sources/item/16378	Ankiam	163/1|163/4|179|757|961|998|999|1102|1103	QGJ.v1.A0006.I0053.E00200|QGJ.v1.A0006.I0053.E00203|QGJ.v1.A0010.I0057.E00221|QGJ.v1.A0033.I0118.E00799|QGJ.v1.A0033.I0134.E01003|QGJ.v1.A0040.I0151.E01040|QGJ.v1.A0040.I0151.E01041|QGJ.v1.A0045.I0167.E01144|QGJ.v1.A0045.I0167.E01145			Ankiam 163/1, 163/4,179, 757, 961,998,999,1102,1103
Buchholz	QGJ.v1.Loc.00042	https://undusting.org/jewish_sources/s/jewish_sources/item/16379	Buchholz	2983/3|2983/4|3044|3045|3046|3047|3048	QGJ.v1.A0173.I0540.E03052|QGJ.v1.A0173.I0540.E03053|QGJ.v1.A0178.I0556.E03121|QGJ.v1.A0178.I0556.E03122|QGJ.v1.A0178.I0556.E03123|QGJ.v1.A0178.I0556.E03124|QGJ.v1.A0179.I0558.E03129	Annaberg		Buchholz 2983/3,2983/4,3044-3047,3048
Ansbach	QGJ.v1.Loc.00043	https://undusting.org/jewish_sources/s/jewish_sources/item/16380	Ansbach	3/2|3/9|4900|6501	QGJ.v1.A0001.E00012|QGJ.v1.A0002.E00019|QGJ.v1.A0235.I0749.E04977|QGJ.v1.A0239.I0835.E06582			Ansbach 3/2,3/9,4900,6501
Apolda	QGJ.v1.Loc.00044	https://undusting.org/jewish_sources/s/jewish_sources/item/16381	Apolda	94/1|5104|5105|5106|5107|5262|5263|5264|5297|7148|7149|7150|7151|7152|7153|7154|7155|7156|7157|7158|7159|7254|7255|7990	QGJ.v1.A0003.I0043.E00116|QGJ.v1.A0235.I0762.E05181|QGJ.v1.A0235.I0762.E05182|QGJ.v1.A0235.I0762.E05183|QGJ.v1.A0235.I0762.E05184|QGJ.v1.A0235.I0774.E05339|QGJ.v1.A0235.I0774.E05340|QGJ.v1.A0235.I0774.E05341|QGJ.v1.A0235.I0779.E05374|QGJ.v1.A0243.I0865.E07234|QGJ.v1.A0243.I0865.E07235|QGJ.v1.A0243.I0865.E07236|QGJ.v1.A0243.I0865.E07237|QGJ.v1.A0243.I0865.E07238|QGJ.v1.A0243.I0865.E07239|QGJ.v1.A0243.I0865.E07240|QGJ.v1.A0243.I0865.E07241|QGJ.v1.A0243.I0865.E07242|QGJ.v1.A0243.I0865.E07243|QGJ.v1.A0243.I0865.E07244|QGJ.v1.A0243.I0865.E07245|QGJ.v1.A0252.I0884.E07347|QGJ.v1.A0252.I0884.E07348|QGJ.v1.A0289.I0969.E08084			Apolda 94/1, 5104-5107, 5262-5264, 5297, 7148-7159, 7254,7255,7990
Argentinien	QGJ.v1.Loc.00045	https://undusting.org/jewish_sources/s/jewish_sources/item/16382	Argentinien	260	QGJ.v1.A0016.I0070.E00302			Argentinien 260
Arnstadt	QGJ.v1.Loc.00046	https://undusting.org/jewish_sources/s/jewish_sources/item/16383	Arnstadt	4775|4782|4875|5284|5533|5571|6089|7124/4|7124/5|7124/6|7160|7161|7162|7163|7164|7165|7166|7167|7168|7169|7170|7171|7172|7249|7283|7285|7287|7288|7590|7722|8010	QGJ.v1.A0235.I0734.E04852|QGJ.v1.A0235.I0734.E04859|QGJ.v1.A0235.I0742.E04952|QGJ.v1.A0235.I0778.E05361|QGJ.v1.A0239.I0828.E05614|QGJ.v1.A0239.I0828.E05652|QGJ.v1.A0239.I0831.E06170|QGJ.v1.A0239.I0860.E07208|QGJ.v1.A0239.I0860.E07209|QGJ.v1.A0239.I0860.E07210|QGJ.v1.A0244.I0866.E07246|QGJ.v1.A0244.I0866.E07247|QGJ.v1.A0244.I0866.E07248|QGJ.v1.A0244.I0866.E07249|QGJ.v1.A0244.I0866.E07250|QGJ.v1.A0244.I0866.E07251|QGJ.v1.A0244.I0866.E07252|QGJ.v1.A0244.I0866.E07253|QGJ.v1.A0244.I0866.E07254|QGJ.v1.A0244.I0866.E07255|QGJ.v1.A0244.I0866.E07256|QGJ.v1.A0244.I0866.E07257|QGJ.v1.A0244.I0866.E07258|QGJ.v1.A0252.I0884.E07342|QGJ.v1.A0252.I0885.E07376|QGJ.v1.A0252.I0885.E07378|QGJ.v1.A0252.I0885.E07380|QGJ.v1.A0252.I0885.E07381|QGJ.v1.A0269.I0916.E07683|QGJ.v1.A0269.I0918.E07813|QGJ.v1.A0293.I0975.E08104			Arnstadt 4775, 4782, 4875, 5284,5533, 5571,6089,7124/4-6, 7160-7172, 7249, 7283, 7285, 7287,7288,7590,7722,8010
Arnstein	QGJ.v1.Loc.00047	https://undusting.org/jewish_sources/s/jewish_sources/item/16384	Arnstein	4753	QGJ.v1.A0234.I0732.E04830			Arnstein 4753
Arnswalde	QGJ.v1.Loc.00048	https://undusting.org/jewish_sources/s/jewish_sources/item/16385	Arnswalde	94/1|163/1	QGJ.v1.A0003.I0043.E00116|QGJ.v1.A0006.I0053.E00200			Arnswalde 94/1, 163/1
Arolsen (Kassel)	QGJ.v1.Loc.00049	https://undusting.org/jewish_sources/s/jewish_sources/item/16386	Arolsen (Kassel)	61|62	QGJ.v1.A0003.I0038.E00083|QGJ.v1.A0003.I0038.E00084			Arolsen (Kassel) 61,62
Aschenhausen	QGJ.v1.Loc.00050	https://undusting.org/jewish_sources/s/jewish_sources/item/16387	Aschenhausen	4892|4896|4945|4946|5108|5109|5110|5111|5112|5113|5114|5115|5116|5190|5193|5284|7086|7100|7106|7503|7504|7505|7506|7507	QGJ.v1.A0235.I0744.E04969|QGJ.v1.A0235.I0746.E04973|QGJ.v1.A0235.I0753.E05022|QGJ.v1.A0235.I0753.E05023|QGJ.v1.A0235.I0762.E05185|QGJ.v1.A0235.I0762.E05186|QGJ.v1.A0235.I0762.E05187|QGJ.v1.A0235.I0762.E05188|QGJ.v1.A0235.I0762.E05189|QGJ.v1.A0235.I0762.E05190|QGJ.v1.A0235.I0762.E05191|QGJ.v1.A0235.I0762.E05192|QGJ.v1.A0235.I0762.E05193|QGJ.v1.A0235.I0765.E05267|QGJ.v1.A0235.I0765.E05270|QGJ.v1.A0235.I0778.E05361|QGJ.v1.A0239.I0858.E07167|QGJ.v1.A0239.I0858.E07181|QGJ.v1.A0239.I0858.E07187|QGJ.v1.A0267.I0907.E07596|QGJ.v1.A0267.I0907.E07597|QGJ.v1.A0267.I0907.E07598|QGJ.v1.A0267.I0907.E07599|QGJ.v1.A0267.I0907.E07600			Aschenhausen 4892, 4896, 4945,4946, 5108-5116, 5190, 5193,5284, 7086, 7100, 7106, 7503-7507
Aschersleben	QGJ.v1.Loc.00051	https://undusting.org/jewish_sources/s/jewish_sources/item/16388	Aschersleben	94/1|2128/8|2134|2135|2136|2137|2138|2139|2140|2141|2142|2143|2144|2145|2146|2147|2148|2149|2150|2151|2152|2153|2154|2155|2156|2157|2158|2894|2896|2898|4753|7525	QGJ.v1.A0003.I0043.E00116|QGJ.v1.A0109.I0338.E02189|QGJ.v1.A0113.I0340.E02201|QGJ.v1.A0113.I0340.E02202|QGJ.v1.A0113.I0340.E02203|QGJ.v1.A0113.I0340.E02204|QGJ.v1.A0113.I0340.E02205|QGJ.v1.A0113.I0340.E02206|QGJ.v1.A0113.I0340.E02207|QGJ.v1.A0113.I0340.E02208|QGJ.v1.A0113.I0340.E02209|QGJ.v1.A0113.I0340.E02210|QGJ.v1.A0113.I0340.E02211|QGJ.v1.A0113.I0340.E02212|QGJ.v1.A0113.I0340.E02213|QGJ.v1.A0113.I0340.E02214|QGJ.v1.A0113.I0340.E02215|QGJ.v1.A0113.I0340.E02216|QGJ.v1.A0113.I0340.E02217|QGJ.v1.A0113.I0340.E02218|QGJ.v1.A0113.I0340.E02219|QGJ.v1.A0113.I0340.E02220|QGJ.v1.A0113.I0340.E02221|QGJ.v1.A0113.I0340.E02222|QGJ.v1.A0113.I0340.E02223|QGJ.v1.A0113.I0340.E02224|QGJ.v1.A0113.I0341.E02225|QGJ.v1.A0164.I0516.E02961|QGJ.v1.A0164.I0517.E02963|QGJ.v1.A0164.I0519.E02965|QGJ.v1.A0234.I0732.E04830|QGJ.v1.A0267.I0913.E07618			Aschersleben 94/1, 2128/8, 2134-2158, 2894, 2896, 2898, 4753,7525
Aschhaus	QGJ.v1.Loc.00052	https://undusting.org/jewish_sources/s/jewish_sources/item/16389	Aschhaus	6421	QGJ.v1.A0239.I0831.E06502			Aschhaus 6421
Atzerode	QGJ.v1.Loc.00053	https://undusting.org/jewish_sources/s/jewish_sources/item/16390	Atzerode	7025	QGJ.v1.A0239.I0850.E07106			Atzerode 7025
Aue	QGJ.v1.Loc.00054	https://undusting.org/jewish_sources/s/jewish_sources/item/16391	Aue	2983/3|3049|3050|3051|3052|3053|3054|3055|3056|3057|3058|3066|4523	QGJ.v1.A0173.I0540.E03052|QGJ.v1.A0179.I0558.E03125|QGJ.v1.A0179.I0558.E03126|QGJ.v1.A0179.I0558.E03127|QGJ.v1.A0179.I0558.E03128|QGJ.v1.A0179.I0558.E03130|QGJ.v1.A0179.I0558.E03131|QGJ.v1.A0179.I0558.E03132|QGJ.v1.A0179.I0558.E03133|QGJ.v1.A0179.I0558.E03134|QGJ.v1.A0179.I0558.E03135|QGJ.v1.A0179.I0564.E03143|QGJ.v1.A0210.I0682.E04600			Aue 2983/3,3049-3058,3066,4523
Auehütte	QGJ.v1.Loc.00055	https://undusting.org/jewish_sources/s/jewish_sources/item/16392	Auehütte	7025	QGJ.v1.A0239.I0850.E07106			Auehütte 7025
